birth_province,origin_lat,origin_lon,source
Anhui,31.73255642242944,117.3024931285749,historical polygon representative point
Chahar,43.22448079605853,114.14197714475713,historical polygon representative point
Fujian,26.08179684658834,117.95006487518737,historical polygon representative point
Guangdong,22.852004541581703,113.93860137936866,historical polygon representative point
Guangxi,23.924228175263178,109.39503360303533,historical polygon representative point
Guizhou,26.986218301114356,106.5955443206158,historical polygon representative point
Hebei,37.918237044033084,116.36335752163588,historical polygon representative point
Heilongjiang,49.438886458860026,122.64883479445484,historical polygon representative point
Henan,34.34697668042502,113.79185824615362,historical polygon representative point
Hubei,31.334101611452866,113.20501443612795,historical polygon representative point
Hunan,27.431741356107814,111.5326461135877,historical polygon representative point
Jiangsu,32.98739368802589,119.96465539873395,historical polygon representative point
Jiangxi,27.400366398479793,115.5793029228924,historical polygon representative point
Jilin,45.051245007810785,126.91744193015784,historical polygon representative point
Liaoning,43.4190474016622,122.00510290290495,historical polygon representative point
Rehe,42.846972132703826,118.99579021859945,historical polygon representative point
Shaanxi,35.70127152423745,109.83252829706106,historical polygon representative point
Shandong,36.40161194264678,118.21846685696802,historical polygon representative point
Shanxi,37.5594848196869,112.86115952556732,historical polygon representative point
Sichuan,30.125512612289114,105.55276146930329,historical polygon representative point
Suiyuan,40.57358486584923,109.36714592136207,historical polygon representative point
Yunnan,25.127234111821373,101.17336382608624,historical polygon representative point
Zhejiang,29.320237184412715,120.12549182692945,historical polygon representative point
