#;Province;City;n;Latitude;Longitude;Notes
1;Guangdong 廣東;Taishan 台山;112;22.2516;112.7786;
2;Jiangsu 江蘇;Shanghai 上海;71;31.2304;121.4737;
3;Guangdong 廣東;Zhongshan 中山;38;22.5176;113.3926;
4;Guangdong 廣東;Xinhui 新會;37;22.458;113.034;
5;Jiangsu 江蘇;Wuxi 無錫;31;31.4906;120.3119;
6;Hebei 河北;Tianjin 天津;30;39.3434;117.3616;
7;Guangdong 廣東;Kaiping 開平;27;22.3762;112.6991;
8;Jiangsu 江蘇;Wuxian 吳縣;20;31.3191;120.6291;"Historical county; now Suzhou area"
9;Guangdong 廣東;Nanhai 南海;18;23.0277;113.1429;
10;Jiangsu 江蘇;Wujin 武進;18;31.7781;119.9643;"Historical county; now Changzhou area"
11;Hebei 河北;Beijing 北京;17;39.9042;116.4074;
12;Fujian 福建;Minhou 閩侯;15;26.15;119.1333;"Historical county; now Fuzhou suburbs"
13;Hunan 湖南;Changsha 長沙;14;28.2282;112.9388;
14;Zhejiang 浙江;Hangxian 杭縣;12;30.2741;120.1551;"Historical county; now Hangzhou area"
15;Zhejiang 浙江;Wuxing 吳興;11;30.8703;120.0933;"Historical county; now Huzhou"
16;Zhejiang 浙江;Yinxian 鄞縣;11;29.8683;121.544;"Historical county; now Ningbo"
17;Guangdong 廣東;Fanou 番禺;10;23,0000;113.3833;"Historical county; now Guangzhou area"
18;Guangdong 廣東;Meixian 梅縣;10;24.2996;116.1228;
19;Jiangsu 江蘇;Changshou 常熟;9;31.6542;120.7523;
20;Zhejiang 浙江;Shaoxing 紹興;9;30.0025;120.58;
21;Guangdong 廣東;Heshan 鶴山;8;22.765;112.9597;
22;Zhejiang 浙江;Shengxian 嵊縣;8;29.5997;120.8275;"Historical county; now Shengzhou"
23;Fujian 福建;Shamen 廈門;7;24.4798;118.0894;Xiamen
24;Jiangsu 江蘇;Jiading 嘉定;7;31.375;121.2652;Now part of Shanghai
25;Jiangsu 江蘇;Nantong 南通;7;31.9816;120.8944;
26;Guangdong 廣東;Chaoyang 潮陽;6;23.2619;116.6007;
27;Guangdong 廣東;Shunde 順德;6;22.8329;113.2453;
28;Jiangsu 江蘇;Jiangyin 江陰;6;31.9208;120.286;
29;Jiangsu 江蘇;Songjiang 松江;6;31.0323;121.2278;Now part of Shanghai
30;Jiangxi 江西;Nanchang 南昌;6;28.682;115.8579;
31;Shandong 山東;Penglai 蓬萊;6;37.8113;120.7591;
32;Fujian 福建;Fuzhou 福州;5;26.0745;119.2965;
33;Fujian 福建;Longxi 龍溪;5;24.5133;117.7265;"Historical county; now Zhangzhou area"
34;Jiangsu 江蘇;Taicang 太倉;5;31.4578;121.1007;
35;Jiangsu 江蘇;Yixing 宜興;5;31.3405;119.8233;
36;Jiangxi 江西;Jiujiang 九江;5;29.7052;115.9928;
37;Zhejiang 浙江;Jiaxing 嘉興;5;30.7522;120.7553;
38;Zhejiang 浙江;Ningbo 寧波;5;29.8683;121.544;
39;Guangdong 廣東;Dongguan 東莞;4;23.0207;113.7519;
40;Guangdong 廣東;Enping 恩平;4;22.1833;112.3;
41;Guangdong 廣東;Sanshui 三水;4;23.1565;112.8876;
42;Guangdong 廣東;Shantou 汕頭;4;23.3535;116.682;
43;Hubei 湖北;Wuchang 武昌;4;30.5539;114.3162;Now part of Wuhan
44;Hunan 湖南;Xiangtan 湘潭;4;27.833;112.9443;
45;Jiangsu 江蘇;Nanjing 南京;4;32.0603;118.7969;
