,NameID,FullName,FullName_PY,Name_WG,Gender,University,Department,Degree,Expanded,Level,discipline,Year,Page,University_zh,University_clean,City,Province_State,Country,Latitude,Longitude
1,N00001,丁康金梅,Ding Kangjinmei,"Ting, Ging-mei Kang",F,University of Michigan,NA,NA,NA,NA,Nursing,1943,439,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
2,N00002,丁文華,Ding Wenhua,"Ting, Mary Jean",F,Mount Holyoke College,NA,NA,NA,NA,Chemistry,1943,439,NA,Mount Holyoke College,South Hadley,Massachusetts,United States,42.25842,-72.57453
3,N00004,丁美曾,Ding Meiceng,"Ding, Mai-tcheng",F,University of California,NA,NA,NA,NA,Accounting,1943,439,NA,University of California,Berkeley,California,United States,37.8722,-122.276
4,N00007,丁毓明,Ding Yuming,"Ting, Yoeh-ming",F,Mount Holyoke College,NA,NA,NA,NA,Medicine,1943,439,NA,Mount Holyoke College,South Hadley,Massachusetts,United States,42.25842,-72.57453
5,N00020,王式好,Wang Shihao,"Hao, JoyceWang",F,State University of Iowa,NA,NA,NA,NA,Chemistry,1943,440,NA,State University of Iowa,Iowa City,Iowa,United States,41.6627,-91.5549
6,N00020,王式好,Wang Shihao,"Hao, JoyceWang",F,University of Chicago,NA,NA,NA,NA,NA,1943,440,NA,University of Chicago,Chicago,Illinois,United States,41.8375,-87.6866
7,N00020,王式好,Wang Shihao,"Hao, JoyceWang",F,University of Southern California,NA,NA,NA,NA,NA,1939,440,NA,University of Southern California,Los Angeles,California,United States,34.1141,-118.4068
8,N00020,王式好,Wang Shihao,"Hao, JoyceWang",F,Wheaton College,NA,NA,NA,NA,NA,1942,440,NA,Wheaton College,Wheaton,Illinois,United States,41.8561,-88.1085
9,N00021,王余得思,Wang Yudesi,"U, Mabel",F,Radcliffe College,NA,NA,NA,NA,Fine Arts,1943,440,NA,Radcliffe College,Cambridge,Massachusetts,United States,42.3759,-71.1185
10,N00021,王余得思,Wang Yudesi,"U, Mabel",F,嶺南大學,NA,NA,NA,NA,NA,1941,440,嶺南大學,Lingnan University,Guangzhou,Guangdong,China,23.1291,113.2644
11,N00023,王安琳,Wang Anlin,"Wang, Anlin",F,Wellesley College,NA,NA,NA,NA,Business,1943,440,NA,Wellesley College,Wellesley,Massachusetts,United States,42.29649,-71.29256
12,N00023,王安琳,Wang Anlin,"Wang, Anlin",F,燕京大學,NA,NA,NA,NA,NA,1938,440,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
13,N00025,王世熊,Wang Shixiong,"Wang, S. Y.",F,Columbia University,NA,M.S.,Master of Science,Master,NA,1938,440,NA,Columbia University,New York City,New York,United States,40.6943,-73.9249
14,N00025,王世熊,Wang Shixiong,"Wang, S. Y.",F,New York University,NA,J.D.,Juris Doctor,Doctor,Law,1939,440,NA,New York University,New York City,New York,United States,40.6943,-73.9249
15,N00025,王世熊,Wang Shixiong,"Wang, S. Y.",F,New York University,NA,LL.M.,Master of Laws,Master,NA,1936,440,NA,New York University,New York City,New York,United States,40.6943,-73.9249
