city,province,students,latitude,longitude
"Taishan, Guangdong",Guangdong,112,22.2516,112.7786
"Shanghai, Jiangsu",Jiangsu,71,31.2304,121.4737
"Zhongshan, Guangdong",Guangdong,38,22.5176,113.3926
"Xinhui, Guangdong",Guangdong,37,22.458,113.034
"Wuxi, Jiangsu",Jiangsu,31,31.4906,120.3119
"Tianjin, Hebei",Hebei,30,39.3434,117.3616
"Kaiping, Guangdong",Guangdong,27,22.3762,112.6991
"Wuxian, Jiangsu",Jiangsu,20,31.3191,120.6291
"Wujin, Jiangsu",Jiangsu,18,31.7781,119.9643
"Nanhai, Guangdong",Guangdong,18,23.0277,113.1429
"Beijing, Hebei",Hebei,17,39.9042,116.4074
"Minhou, Fujian",Fujian,15,26.15,119.1333
"Changsha, Hunan",Hunan,14,28.2282,112.9388
"Hangxian, Zhejiang",Zhejiang,12,30.2741,120.1551
"Wuxing, Zhejiang",Zhejiang,11,30.8703,120.0933
"Yinxian, Zhejiang",Zhejiang,11,29.8683,121.544
"Fanou, Guangdong",Guangdong,10,23.0,113.3833
"Meixian, Guangdong",Guangdong,10,24.2996,116.1228
"Shaoxing, Zhejiang",Zhejiang,9,30.0025,120.58
"Changshou, Jiangsu",Jiangsu,9,31.6542,120.7523
"Shengxian, Zhejiang",Zhejiang,8,29.5997,120.8275
"Heshan, Guangdong",Guangdong,8,22.765,112.9597
"Shamen, Fujian",Fujian,7,24.4798,118.0894
"Jiading, Jiangsu",Jiangsu,7,31.375,121.2652
"Nantong, Jiangsu",Jiangsu,7,31.9816,120.8944
"Penglai, Shandong",Shandong,6,37.8113,120.7591
"Shunde, Guangdong",Guangdong,6,22.8329,113.2453
"Jiangyin, Jiangsu",Jiangsu,6,31.9208,120.286
"Nanchang, Jiangxi",Jiangxi,6,28.682,115.8579
"Songjiang, Jiangsu",Jiangsu,6,31.0323,121.2278
"Chaoyang, Guangdong",Guangdong,6,23.2619,116.6007
"Fuzhou, Fujian",Fujian,5,26.0745,119.2965
"Jiujiang, Jiangxi",Jiangxi,5,29.7052,115.9928
"Taicang, Jiangsu",Jiangsu,5,31.4578,121.1007
"Ningbo, Zhejiang",Zhejiang,5,29.8683,121.544
"Jiaxing, Zhejiang",Zhejiang,5,30.7522,120.7553
"Yixing, Jiangsu",Jiangsu,5,31.3405,119.8233
"Longxi, Fujian",Fujian,5,24.5133,117.7265
"Enping, Guangdong",Guangdong,4,22.1833,112.3
"Dongguan, Guangdong",Guangdong,4,23.0207,113.7519
"Zhenjiang, Jiangsu",Jiangsu,4,32.2119,119.455
"Sanshui, Guangdong",Guangdong,4,23.1565,112.8876
"Shantou, Guangdong",Guangdong,4,23.3535,116.682
"Nanjing, Jiangsu",Jiangsu,4,32.0603,118.7969
"Xiangtan, Hunan",Hunan,4,27.833,112.9443
"Pinghu, Zhejiang",Zhejiang,4,30.6978,121.0183
"Wuchang, Hubei",Hubei,4,30.5539,114.3162
"Fenghua, Zhejiang",Zhejiang,4,29.6551,121.4068
"Nanan, Fujian",Fujian,3,24.96,118.3862
"Jiangdu, Jiangsu",Jiangsu,3,32.4344,119.5694
"Hengyang, Hunan",Hunan,3,26.893,112.5716
"Kunming, Yunnan",Yunnan,3,25.0389,102.7183
"Jiashan, Zhejiang",Zhejiang,3,30.8456,120.9236
"Luoyang, Henan",Henan,3,34.6197,112.4539
"Kaifeng, Henan",Henan,3,34.7971,114.3074
"Haining, Zhejiang",Zhejiang,3,30.5131,120.6811
"Cixi, Zhejiang",Zhejiang,3,30.1699,121.2644
"Zhongqing, Sichuan",Sichuan,3,29.563,106.5516
"Chanxian, Shandong",Shandong,3,34.793,116.087
"Chaoan, Guangdong",Guangdong,3,23.4623,116.5978
"Yancheng, Jiangsu",Jiangsu,3,33.3478,120.1635
"Chengdu, Sichuan",Sichuan,3,30.5728,104.0668
"Cixi, Jiangsu",Jiangsu,3,30.1699,121.2644
"Dantu, Jiangsu",Jiangsu,3,32.1317,119.4227
"Zhuji, Zhejiang",Zhejiang,2,29.7133,120.2347
"Zhenhai, Zhejiang",Zhejiang,2,29.9489,121.7147
"Yuyao, Zhejiang",Zhejiang,2,30.0374,121.1547
"Yongqing, Hebei",Hebei,2,39.3205,116.5007
"Xingning, Guangdong",Guangdong,2,24.1355,115.731
"Mianyang, Hubei",Hubei,2,30.35,113.45
"Xinghua, Jiangsu",Jiangsu,2,32.9116,119.8526
"Xiangxiang, Hunan",Hunan,2,27.7346,112.5316
"Shaoyang, Hunan",Hunan,2,27.2384,111.4676
"Neijiang, Sichuan",Sichuan,2,29.5803,105.058
"Xiangcheng, Henan",Henan,2,33.46,114.875
"Ningwu, Shanxi",Shanxi,2,38.9992,112.3053
"Wuyuan, Anhui",Anhui,2,29.2483,117.8613
"Wuhu, Anhui",Anhui,2,31.3521,118.4327
"Tongxian, Hebei",Hebei,2,39.9023,116.6586
"Tongan, Fujian",Fujian,2,24.7231,118.149
"Taian, Shandong",Shandong,2,36.2045,117.087
"Sichuan, Sichuan",Sichuan,2,30.5728,104.0668
"Shouxian, Anhui",Anhui,2,32.5758,116.7846
"Shiping, Yunnan",Yunnan,2,23.7073,102.4944
"Shangyin, Henan",Henan,2,35.9241,114.3595
"Shangyu, Zhejiang",Zhejiang,2,30.0337,120.869
"Taixian, Jiangsu",Jiangsu,2,32.473,119.9196
"Zunhua, Hebei",Hebei,2,40.1895,117.9656
