state,state_abbr,distinct_students,distinct_universities,education_records
New York,NY,302,30,343
Massachusetts,MA,282,23,301
California,CA,251,22,292
Michigan,MI,166,11,185
Illinois,IL,142,18,158
Indiana,IN,88,7,93
Pennsylvania,PA,77,14,84
Ohio,OH,54,16,61
Wisconsin,WI,51,10,53
Minnesota,MN,50,5,59
Oregon,OR,50,5,52
Iowa,IA,44,8,45
New Jersey,NJ,27,9,28
District of Columbia,DC,27,4,29
Colorado,CO,23,4,23
Connecticut,CT,19,3,20
Missouri,MO,19,9,19
Maryland,MD,17,6,18
Hawaii,HI,14,1,14
Virginia,VA,14,7,15
South Carolina,SC,13,4,13
Tennessee,TN,11,4,13
Texas,TX,11,8,12
Louisiana,LA,11,3,11
North Carolina,NC,10,6,10
Kansas,KS,8,3,8
Georgia,GA,6,4,7
Arizona,AZ,5,2,5
Oklahoma,OK,5,4,5
Rhode Island,RI,5,2,5
Washington,WA,4,3,5
Montana,MT,4,3,4
Nebraska,NE,3,3,3
Kentucky,KY,3,2,3
Florida,FL,3,2,3
New Hampshire,NH,2,1,2
North Dakota,ND,2,1,2
Alabama,AL,1,1,1
Nevada,NV,1,1,1
Maine,ME,1,1,1
Arkansas,AR,1,1,1
Mississippi,MS,1,1,1
