student,source,source_display,target,target_display,source_year,target_year,source_levels,target_levels,source_country,target_country
N00003,Jiaotong University,交通大學,Harvard University,Harvard University,1939,1943,['Unspecified'],['Unspecified'],China,US
N00005,St. John's University,聖約翰大學,Stanford University,Stanford University,1940,1942,['Unspecified'],['Master'],China,US
N00009,Michigan State College,Michigan State College,Ohio State University,Ohio State University,1941,1943,['Bachelor'],['Unspecified'],US,US
N00011,Jinling University,金陵大學,University of Edinburgh,University of Edinburgh,1936,1941,['Unspecified'],['Master'],China,Other
N00011,University of Edinburgh,University of Edinburgh,Columbia University,Columbia University,1941,1943,['Master'],['Unspecified'],Other,US
N00012,Denison University,Denison University,New York University,New York University,1921,1924,['Bachelor'],['Doctorate'],US,US
N00012,New York University,New York University,Columbia University,Columbia University,1924,1927,['Doctorate'],['Master'],US,US
N00014,Central Army Military Academy,中央陸軍軍官學校,Cambridge University,Cambridge University,1930,1940,['Unspecified'],['Unspecified'],China,Other
N00018,Tientsin Institute of Commerce,天津工商學院學,Cornell University,Cornell University,1941,1942,['Unspecified'],['Master'],China,US
N00020,University of Southern California,University of Southern California,Wheaton College,Wheaton College,1939,1942,['Unspecified'],['Unspecified'],US,US
N00020,Wheaton College,Wheaton College,State University of Iowa,State University of Iowa,1942,1943,['Unspecified'],['Unspecified'],US,US
N00020,Wheaton College,Wheaton College,University of Chicago,University of Chicago,1942,1943,['Unspecified'],['Unspecified'],US,US
N00021,Lingnan University,嶺南大學,Radcliffe College,Radcliffe College,1941,1943,['Unspecified'],['Unspecified'],China,US
N00023,Yenching University,燕京大學,Wellesley College,Wellesley College,1938,1943,['Unspecified'],['Unspecified'],China,US
N00025,Southeast University,東南大學,New York University,New York University,1935,1936,['Unspecified'],['Master'],China,US
N00025,New York University,New York University,Columbia University,Columbia University,1936,1938,['Master'],['Master'],US,US
N00025,Columbia University,Columbia University,New York University,New York University,1938,1939,['Master'],['Doctorate'],US,US
N00026,Southeast University,東南大學,Detroit College of Law,Detroit College of Law,1941,1942,['Unspecified'],['Unspecified'],China,US
N00026,Detroit College of Law,Detroit College of Law,Dartmouth College,Dartmouth College,1942,1943,['Unspecified'],['Unspecified'],US,US
N00027,Tsinghua University,清華大學,University of Illinois,University of Illinois,1941,1943,['Unspecified'],['Unspecified'],China,US
N00028,Jiaotong University,交通大學,University of London,University of London,1935,1939,['Unspecified'],['Master'],China,Other
N00028,University of London,University of London,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1939,1941,['Master'],['Unspecified'],Other,US
N00029,Jiaotong University,交通大學,Harvard University,Harvard University,1936,1942,['Unspecified'],['Master'],China,US
N00030,Massachusetts Institute of Technology,Massachusetts Institute of Technology,University of Colorado,University of Colorado,1941,1942,['Bachelor'],['Unspecified'],US,US
N00031,University of Colorado,University of Colorado,Oxford University,Oxford University,1936,1939,['Unspecified'],['Unspecified'],US,Other
N00031,Oxford University,Oxford University,University of London,University of London,1939,1941,['Unspecified'],['Unspecified'],Other,Other
