student,stage1,stage1_display,stage1_year,stage1_levels,stage1_country,stage2,stage2_display,stage2_year,stage2_levels,stage2_country,stage3,stage3_display,stage3_year,stage3_levels,stage3_country
N00011,Jinling University,金陵大學,1936,['Unspecified'],China,University of Edinburgh,University of Edinburgh,1941,['Master'],Other,Columbia University,Columbia University,1943,['Unspecified'],US
N00012,Denison University,Denison University,1921,['Bachelor'],US,New York University,New York University,1924,['Doctorate'],US,Columbia University,Columbia University,1927,['Master'],US
N00020,University of Southern California,University of Southern California,1939,['Unspecified'],US,Wheaton College,Wheaton College,1942,['Unspecified'],US,State University of Iowa,State University of Iowa,1943,['Unspecified'],US
N00020,University of Southern California,University of Southern California,1939,['Unspecified'],US,Wheaton College,Wheaton College,1942,['Unspecified'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N00025,Southeast University,東南大學,1935,['Unspecified'],China,New York University,New York University,1936,['Master'],US,Columbia University,Columbia University,1938,['Master'],US
N00025,New York University,New York University,1936,['Master'],US,Columbia University,Columbia University,1938,['Master'],US,New York University,New York University,1939,['Doctorate'],US
N00026,Southeast University,東南大學,1941,['Unspecified'],China,Detroit College of Law,Detroit College of Law,1942,['Unspecified'],US,Dartmouth College,Dartmouth College,1943,['Unspecified'],US
N00028,Jiaotong University,交通大學,1935,['Unspecified'],China,University of London,University of London,1939,['Master'],Other,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1941,['Unspecified'],US
N00031,University of Colorado,University of Colorado,1936,['Unspecified'],US,Oxford University,Oxford University,1939,['Unspecified'],Other,University of London,University of London,1941,['Unspecified'],Other
N00032,Dominican College,Dominican College,1940,['Unspecified'],US,University of California,University of California,1942,['Unspecified'],US,University of Michigan,University of Michigan,1943,['Unspecified'],US
N00040,Fu-jen University,輔仁大學,1932,['Unspecified'],China,University of Notre Dame,University of Notre Dame,1941,['Master'],US,Syracuse University,Syracuse University,1943,['Bachelor'],US
N00041,Yenching University,燕京大學,1932,['Unspecified'],China,George Williams College,George Williams College,1942,['Bachelor'],US,New York University,New York University,1943,['Unspecified'],US
N00048,Ginling College,金陵女子文理學院,1928,['Unspecified'],China,Yenching University,燕京大學,1932,['Unspecified'],China,University of Michigan,University of Michigan,1942,['Doctorate'],US
N00052,Jiaotong University,交通大學,1940,['Unspecified'],China,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1942,['Master'],US,Brown University,Brown University,1943,['Master'],US
N00052,Jiaotong University,交通大學,1940,['Unspecified'],China,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1942,['Master'],US,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1943,['Unspecified'],US
N00053,Beijing University,北京大學,1934,['Unspecified'],China,California Institute of Technology,California Institute of Technology,1938,['Master'],US,Stanford University,Stanford University,1941,['Doctorate'],US
N00065,Beijing University,北京大學,1936,['Unspecified'],China,Nankai University,南開大學,1937,['Unspecified'],China,Columbia University,Columbia University,1943,['Unspecified'],US
N00067,Yenching University,燕京大學,1934,['Unspecified'],China,Peking Union Medical College,協和醫學院,1937,['Unspecified'],China,University of Minnesota,University of Minnesota,1943,['Doctorate'],US
N00071,Shanghai University,滬江大學,1928,['Unspecified'],China,Northwestern University,Northwestern University,1931,['Unspecified'],US,University of Chicago,University of Chicago,1937,['Unspecified'],US
N00071,Northwestern University,Northwestern University,1931,['Unspecified'],US,University of Chicago,University of Chicago,1937,['Unspecified'],US,Tulane University,Tulane University,1941,['Unspecified'],US
N00072,Yenching University,燕京大學,1940,['Unspecified'],China,Missouri School of Mines & Metals,Missouri School of Mines & Metals,1942,['Unspecified'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N00073,Guangxi University,廣西大學,1937,['Unspecified'],China,Oregon State College,Oregon State College,1941,['Master'],US,University of Wisconsin,University of Wisconsin,1943,['Unspecified'],US
N00077,Southeast University,東南大學,1932,['Unspecified'],China,Peking Union Medical College,協和醫學院,1936,['Unspecified'],China,Johns Hopkins University,Johns Hopkins University,1942,['Master'],US
N00082,Yenching University,燕京大學,1934,['Unspecified'],China,State University of Iowa,State University of Iowa,1942,['Master'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N00095,China Academy,中國學院,1928,['Unspecified'],China,University of London,University of London,1936,['Unspecified'],Other,University of California,University of California,1942,['Master'],US
