id,from,to,weight,edge_betweenness
p0,Aachen Technical University,Jinling University,1,0.0010332270001723724
p1,Aachen Technical University,Yenching University,1,0.0028736169951019894
p2,Air Force Technical College,California Institute of Technology,1,0.0013064854547084367
p3,Air Force Technical College,Jiaotong University,1,0.0013903892141622555
p4,Air Force Technical College,University of Toronto,1,0.0012099693264036654
p5,Albion College,Jinan University,1,0.00034981697856158617
p6,Albion College,Olivet College,1,0.0009845221513870139
p7,Albion College,University of Michigan,1,0.0033332351727783263
p8,Albion College,Southeast University,1,0.0012639004400163039
p9,Alfred University,Beijing University,1,0.003906843995274357
p10,Alverno College of Music,Briar Cliff College,1,1.1697137710402265e-05
p11,Alverno College of Music,Columbia University,1,0.0037952418887254127
p12,Alverno College of Music,Shandong University,1,9.990496883854079e-05
p13,American Conservatory of Music,Guanghua University,1,0.0028678314869349194
p14,American Conservatory of Music,Northeastern University,1,0.00103901250833944
p15,American National University,École Libre des Sciences Politiques,1,0.003906843995274357
p16,American National University,New York University,1,0.002271311511414415
p17,American National University,Yenching University,1,0.0040719231940265985
p18,American National University,Jinling University,1,0.0014886780109396478
p19,Anhui University,Stanford University,1,0.003906843995274357
p20,Antioch College,Lingnan University,1,0.002483985865023114
p21,Antioch College,China College University Department,1,0.00011024794140220274
p22,Antioch College,University of Minnesota,1,0.0014907364395024343
p23,Arizona State Teachers' College,Jiaotong University,1,0.0007236693722676401
p24,Arizona State Teachers' College,North American Institute of Aviation,1,0.0006271705762270278
p25,Arizona State Teachers' College,Yenching University,1,0.003079934731705752
p26,Arizona State Teachers' College,Zhongshan University,1,0.0007606913353940402
p27,Arkansas State College,University of Chicago,1,0.0036124742762077104
p28,Arkansas State College,University of Cincinnati,1,0.00029436971906664314
p29,Armour Institute of Technology,University of Cincinnati,1,0.003906843995274356
p30,Armstron College,University of Texas,1,0.003906843995274357
p31,Armstrong Junior College,Ohio Wesleyan University,1,0.003906843995274357
p32,Army University,Central Army Military Academy,1,0.003906843995274357
p33,Art Institute of Chicago,Southeast University,1,0.0026688146915394275
p34,Art Institute of Chicago,Kansas State College,1,0.0005509763624553634
p35,Art Institute of Chicago,Lingnan University,1,0.004680163573242685
p36,Art Institute of Chicago,Shanghai Xinhua University of Art,1,0.003906843995274357
p37,Asbury College,State University of Iowa,1,0.0077902937151279085
p38,Asbury College,Rochester Institute of Technology,1,0.003906843995274357
p39,Atlantic Union College,Fordham University,1,0.003906843995274357
p40,Aurora University,International University,1,0.0030795771904485103
p41,Aurora University,Loyola University,2,0.00034420566146267255
p42,Aurora University,Catholic University of America,1,0.0007750542524153363
p43,Aurora University,Harvard University,1,0.006726297529691613
p44,Baldwin Wallace College,New York University,1,0.003906843995274357
p45,Barnard College,Master Institute of United Arts,1,1.1697137710402265e-05
p46,Beijing University,California Institute of Technology,3,0.0011612259046171263
p47,Beijing University,Stanford University,2,0.000744314833914251
p48,Beijing University,Columbia University,10,0.0020240043483693315
p49,Beijing University,Nankai University,1,0.0008061443902755547
p50,Beijing University,University of Michigan,2,0.0017474034627001423
p51,Beijing University,Purdue University,2,0.0010694145232228748
p52,Beijing University,Hartford Seminary Foundation,1,0.000751558536695023
p53,Beijing University,University of Chicago,2,0.0011191143340232963
p54,Beijing University,University of Missouri,1,0.0002788277796427104
p55,Beijing University,Oregon State College,1,0.0005527900943239407
p56,Beijing University,Guilford College,1,0.002344087865874986
p57,Beijing University,Oberlin College,2,0.00040357166358552586
p58,Beijing University,New School For Social Research,1,0.00031028666263940044
p59,Beijing University,Massachusetts Institute of Technology,2,0.0007423316189795978
p60,Beijing University,University of Toronto,1,0.00025151693224545056
p61,Beijing University,Canisus College,1,0.0010337542079060255
p62,Beijing University,Harvard University,1,0.0011732016038151574
p63,Beijing University,Yenching University,1,0.001815908133871766
p64,Beijing University,University of Kansas,1,0.0003247986349755468
p65,Beijing University,University of Minnesota,1,0.0006391871774745084
p66,Beijing University,University of Illinois,1,0.000715868203332705
p67,Beijing University,University of Maryland,1,0.0010866529814454492
p68,Beijing University,University of California,1,0.0006636618266017662
p69,Beiyang University,Columbia University,1,0.002118872163487533
p70,Beiyang University,Technical College of Hanover,1,0.0011297098213703472
p71,Beiyang University,University of London,1,0.0003871891596789888
p72,Beiyang University,Cornell University,1,0.0007601962527305043
p73,Beiyang University,State University of Iowa,1,0.0006011620592988147
p74,Beiyang University,University of Pennsylvania,1,0.0007700281256751281
p75,Beiyang University,Massachusetts Institute of Technology,1,0.0007490340056785577
p76,Beiyang University,Colorado School of Mines,1,0.000425734970278788
p77,Beloit College,University of Chicago,1,0.003906843995274357
p78,Bennett College,Radcliffe College,1,0.003906843995274357
p79,Bethel College,Cumberland Theological Seminary,1,1.1697137710402265e-05
p80,Birmingham University,Jiaotong University,1,0.003615695300601948
p81,Birmingham University,University of Oklahoma,1,0.00029114869467240394
p82,Birmingham-Southern College,Virginia Polytechnic Institute,1,0.003906843995274357
p83,Blackstone College,Bryn Mawr College,1,0.0010042508883464276
p84,Blackstone College,Mount Holyoke College,1,0.002992771838482591
p85,Boston University,Jiaotong University,1,0.0005858422161452019
p86,Boston University,University of Michigan,1,0.0016548828938343307
p87,Boston University,Harvard University,1,0.0011743748687737421
p88,Boston University,Hwa Nan College,1,0.0006892018847776229
p89,Boston University,Catholic University of America,1,0.000964301426494826
p90,Boston University,Guangdong National University,1,0.000590337924966959
p91,Boston University,Lingnan University,1,0.0009718344967148238
p92,Boston University,St. John's University,1,0.0009179021374255624
p93,Briar Cliff College,Columbia University,1,0.0037952418887254127
p94,Briar Cliff College,Shandong University,1,9.990496883854079e-05
p95,Brown University,Jiaotong University,1,0.0006975237764193228
p96,Brown University,Massachusetts Institute of Technology,2,0.001279076194807024
p97,Brown University,Rensselaer Polytechnic Institute,1,0.0001548799998370566
p98,Brown University,Yenching University,2,0.0021561877175986606
p99,Brown University,Huazhong University,1,0.000139366446566129
p100,Bryn Mawr College,China Public School,1,0.0018022981721331228
p101,Bryn Mawr College,Goucher College,1,0.00026725011725463104
p102,Bryn Mawr College,Lingnan University,1,0.0032643626495708618
p103,Bryn Mawr College,St. John's University,1,0.002869259683064993
p104,Bryn Mawr College,Smith College,1,0.00041108843064241067
p105,California Institute of Technology,Stanford University,1,0.0014540449057311665
p106,California Institute of Technology,University of California,1,0.0020239492185514124
p107,California Institute of Technology,Zhongshan University,1,0.0009248549412474521
p108,California Institute of Technology,Mapúa Institute of Technology,1,0.0038679525043691207
p109,California Institute of Technology,University of the Philippines,1,0.0029206954551878384
p110,California Institute of Technology,Zhijiang University,1,0.0014760961250728393
p111,California Institute of Technology,Tsinghua University,3,0.0010532984364604273
p112,California Institute of Technology,University of Toronto,2,0.0004936897210072406
p113,California Institute of Technology,Institute for Advanced Study,1,0.0013682712802744015
p114,California Institute of Technology,Jiaotong University,4,0.0011203330317378817
p115,California Institute of Technology,Massachusetts Institute of Technology,1,0.001397273632618639
p116,California Institute of Technology,Rensselaer Polytechnic Institute,1,0.0008030398488523446
p117,California Institute of Technology,Yenching University,1,0.003931314361293128
p118,California Institute of Technology,University of Michigan,2,0.004138194370004239
p119,California Institute of Technology,Northeast University,1,0.003906843995274357
p120,California Institute of Technology,Shanghai University,2,0.003310975706235857
p121,California Institute of Technology,Colorado School of Mines,1,0.0007821879027998012
p122,California Institute of Technology,McGill University,1,0.001033998114329516
p123,California Institute of Technology,University of Hong Kong,1,0.0014344854591054306
p124,California Institute of Technology,Holy Cross College,1,0.003906843995274357
p125,California Institute of Technology,University of London,1,0.0007570103781833513
p126,California Institute of Technology,Xiamen University,1,0.0008142275521791965
p127,California Institute of Technology,Datong University,1,0.0014887489924975204
p128,Cambridge University,Central Army Military Academy,1,0.003172855829960616
p129,Cambridge University,Yenching University,3,0.0016782818906028217
p130,Cambridge University,Central University,3,0.00033251757985485776
p131,Cambridge University,University of London,1,0.00043194587945824813
p132,Cambridge University,Harvard University,2,0.0008652590495138332
p133,Cambridge University,Jiaotong University,1,0.000789532578211368
p134,Cambridge University,University of Michigan,1,0.0015013832274820968
p135,Cambridge University,Columbia University,1,0.001681623620555095
p136,Cambridge University,Ginling College,1,0.0006445821942261452
p137,Cambridge University,Duke University,1,0.0006104845243809204
p138,Cambridge University,Syracuse University,1,0.00047190546536082014
p139,Canisus College,Columbia University,1,0.002873089787368334
p140,Carleton College,Yenching University,1,0.0013808010150504453
p141,Carleton College,University of Chicago,3,0.0010268456216326904
p142,Carleton College,University of Michigan,1,0.0014991973585912306
p143,Carnegie Institute of Technology,McGill University,1,0.0005438798570806156
p144,Carnegie Institute of Technology,Zhejiang University,2,0.0008932019957299674
p145,Carnegie Institute of Technology,Shanghai University,1,0.005490899531083722
p146,Carnegie Institute of Technology,Syracuse University,1,0.00123715879139524
p147,Carnegie Institute of Technology,Macalester College,1,0.003906843995274357
p148,Case School of Applied Science,Mount Union College,1,1.1697137710402265e-05
p149,Catholic University of America,College of St. Elisabeth,1,0.00045023767679625986
p150,Catholic University of America,Yenching University,1,0.00830279884021781
p151,Catholic University of America,Mount Mary College,1,0.003906843995274357
p152,Catholic University of America,Loyola University,1,0.0015580085654413455
p153,Catholic University of America,Western Maryland College,1,0.003906843995274357
p154,Catholic University of America,Fu-jen University,2,0.0015152755832076009
p155,Catholic University of America,Purdue University,1,0.002761542659935551
p156,Catholic University of America,Guangdong National University,1,0.0004995284975191867
p157,Central Army Military Academy,Field Artillery School,1,0.003790534760291622
p158,Central Army Military Academy,Royal Military College,1,0.00298406139253944
p159,Central Army Military Academy,Nankai University,1,0.0035676750987892443
p160,Central Army Military Academy,Shanghai University,1,0.007714961081983843
p161,Central Institute for Deaf,University of Hong Kong,1,0.003906843995274357
p162,Central Political School,University of Washington,1,0.0015098695496599988
p163,Central Political School,Louisiana State University,1,0.0003402209051499932
p164,Central Political School,New York University,1,0.002329908865371572
p165,Central Political School,Southeast University,1,0.0018915402598810274
p166,Central Political School,Zhonghua University,1,0.003906843995274357
p167,Central Political School,University of Minnesota,1,0.0021894754372707528
p168,Central University,State University of Iowa,1,0.0010415509285963535
p169,Central University,Harvard University,4,0.0005972158830311147
p170,Central University,University of Toronto,3,0.0002377518957762395
p171,Central University,University of California,2,0.0005938654099537412
p172,Central University,Wellesley College,1,0.0004619011564781998
p173,Central University,University of Edinburgh,1,0.0005879535972184019
p174,Central University,Columbia University,3,0.0016766353348642178
p175,Central University,University of Minnesota,3,0.0005324445860141459
p176,Central University,Edinburgh University,1,0.0019222956930606042
p177,Central University,University of Michigan,5,0.0012683968701871955
p178,Central University,Cornell University,1,0.0005036350736802937
p179,Central University,Massachusetts Institute of Technology,2,0.0005493888289734292
p180,Central University,Oregon State College,2,0.00042223331435788683
p181,Central University,University of Iowa,1,0.0007030538756272529
p182,Central University,Ohio State University,1,0.0005373292735314146
p183,Central University,University of Wisconsin,1,0.0004283849261770344
p184,Central University,Jiaotong University,1,0.0006989493577794734
p185,Chemical Institute of Lyon,Sino-French University,1,0.0005960758115331802
p186,Chemical Institute of Lyon,University of Lyon,1,0.0007281651332114808
p187,Chemical Institute of Lyon,University of Paris,1,0.002582603050529702
p188,Chicago Aeronautical University,Illinois Institute of Technology,1,0.0038951468575639542
p189,Chicago Aeronautical University,University of Kentucky,1,1.1697137710402265e-05
p190,"Children Hospital, Massachusetts",Williams Hospital,1,1.1697137710402265e-05
p191,China Academy,University of California,1,0.002679305464861845
p192,China Academy,University of London,1,0.0012275385304125188
p193,China College University Department,University of Hawaii,1,0.0014977085589387143
p194,China College University Department,University of Minnesota,1,0.002324546930355309
p195,China Public School,Goucher College,1,0.002104545823141235
p196,China University,Haverford College,1,0.003906843995274357
p197,Chongqing University,Harvard University,1,0.003906843995274357
p198,Chrysler Institute of Engineering,Jiaotong University,1,0.0019154686875132183
p199,Chrysler Institute of Engineering,Purdue University,1,0.0019913753077611387
p200,Claremont College,Lingnan University,1,0.0008505498245093704
p201,Claremont College,University of California,1,0.0008292487567158874
p202,Claremont College,Yenching University,1,0.0014231569933478153
p203,Claremont College,Shanghai University,1,0.0008324767059882707
p204,Clarence White School of Photography,Columbia University,1,0.0019138938774908888
p205,Clarence White School of Photography,Shanghai University,1,0.0010351844667936651
p206,Clarence White School of Photography,University of Pennsylvania,1,0.0009577656509898042
p207,Clark University,New York University,1,0.0005046001232709195
p208,Clark University,Peiping College of Finance and Commerce,1,0.0009405176476771269
p209,Clark University,Columbia University,2,0.0012690896029191592
p210,Clark University,Shanghai University,1,0.0008145549671733456
p211,Clark University,University of Michigan,1,0.0012553229358000242
p212,Clark University,University of Wisconsin,1,0.0004968830956044174
p213,Clark University,University of Toronto,1,0.0002332864145404927
p214,Clark University,Zhongshan University,1,0.0003175602159826755
p215,Clark University,Stanford University,1,0.0005346902305181932
p216,College of Medical Evangelists,Pacific Union College,1,1.1697137710402265e-05
p217,College of St. Elisabeth,Yenching University,1,0.0038979115030514863
p218,College of St. Elisabeth,Fordham University,2,0.0008859054038369272
p219,College of St. Teresa,Qilu University,1,0.002024206759520365
p220,College of St. Teresa,Yunnan University,1,0.003906843995274357
p221,College of St. Teresa,Radcliffe College,1,0.003923138450824461
p222,College of St. Teresa,Southwest Associated University,1,0.0019357392500155457
p223,College of the Pacific,Jinan University,1,0.0031992920551231208
p224,College of the Pacific,North Dakota State College,1,0.0007075519401512382
p225,Colorado College,Harvard University,1,0.00223296928133166
p226,Colorado College,St. John's University,2,0.001673874713942698
p227,Colorado School of Mines,Massachusetts Institute of Technology,1,0.0016467446217562484
p228,Colorado School of Mines,St. John's University,1,0.0018697643932034708
p229,Colorado School of Mines,University of Santo Tomas,2,0.003906843995274357
p230,Colorado School of Mines,McGill University,1,0.00041276988916369233
p231,Colorado School of Mines,Tsinghua University,1,0.0011853780623492358
p232,Colorado School of Mines,University of the Philippines,1,0.0010016457555709504
p233,Colorado School of Mines,Yenching University,1,0.0032470593402403056
