id,label,clean_label,students,degree,degree_centrality,weighted_degree,betweenness,closeness,pagerank,community,community_size,country,city,state
Aachen Technical University,亞享工科大學,Aachen Technical University,1,2,0.004842615012106538,2,0.0,0.2796184059474932,0.0007770909733585878,7,29,Germany,Aachen,North Rhine-Westphalia
Air Force Technical College,空軍技術專門學校,Air Force Technical College,1,3,0.007263922518159807,3,0.0,0.2594729876515643,0.0009454511710451073,1,62,China,Chengdu,Sichuan
Albion College,Albion College,Albion College,3,4,0.009685230024213076,4,0.0010172295260341179,0.2882725508487497,0.0014134351955001742,3,42,United States,Albion,Michigan
Alfred University,Alfred University,Alfred University,1,1,0.002421307506053269,1,0.0,0.24488792397577375,0.0005961288584615162,2,48,United States,Alfred,New York
Alverno College of Music,Alverno College of Music,Alverno College of Music,1,3,0.007263922518159807,3,0.0,0.2761875052610209,0.0012347181602482909,2,48,United States,Milwaukee,Wisconsin
American Conservatory of Music,American Conservatory of Music,American Conservatory of Music,1,2,0.004842615012106538,2,0.0,0.23611134628083782,0.000956308996098227,4,41,United States,Chicago,Illinois
American National University,NationaI University,American National University,4,4,0.009685230024213076,4,0.003934965855074748,0.2910682975703432,0.0016088359649593272,4,41,United States,Roanoke,Virginia
Anhui University,安徽大學,Anhui University,1,1,0.002421307506053269,1,0.0,0.24555580013207132,0.0006168421344300542,5,39,China,Anqing,Anhui
Antioch College,Antioch College,Antioch College,2,3,0.007263922518159807,3,8.949547059527256e-05,0.26770206159095983,0.0010741181983626657,5,39,United States,Yellow Springs,Ohio
Arizona State Teachers' College,Arizona State Teachers' College,Arizona State Teachers' College,2,4,0.009685230024213076,4,0.0006454290247724828,0.2822480461288176,0.0013030218247582722,4,41,United States,Tempe,Arizona
Arkansas State College,Arkansas State College,Arkansas State College,1,2,0.004842615012106538,2,0.0,0.2663820317014581,0.000874854092530359,3,42,United States,Jonesboro,Arkansas
Armour Institute of Technology,Armour Institute of Technology,Armour Institute of Technology,1,1,0.002421307506053269,1,0.0,0.21251878846992794,0.0006962771341412768,3,42,United States,Chicago,Illinois
Armstron College,Armstron College,Armstron College,1,1,0.002421307506053269,1,0.0,0.1673552541172729,0.001256223251982003,5,39,United Kingdom,Newcastle upon Tyne,
